code,name,nativeName,isActive,isDefault
en,English,English,true,true
hi,Hindi,हिन्दी,true,false
fr,French,Français,true,false
es,Spanish,Español,true,false
de,German,Deutsch,true,false
ja,Japanese,日本語,true,false
ko,Korean,한국어,true,false
zh,Chinese,中文,true,false
ar,Arabic,العربية,true,false
pt,Portuguese,Português,true,false
it,Italian,Italiano,true,false
ru,Russian,Русский,true,false
nl,Dutch,Nederlands,true,false
sv,Swedish,Svenska,true,false
no,Norwegian,Norsk,true,false
da,Danish,Dansk,true,false
fi,Finnish,Suomi,true,false
pl,Polish,Polski,true,false
tr,Turkish,Türkçe,true,false
th,Thai,ไทย,true,false
